OBJECTID,COUNTY_NAM,code,name,COUNTY_ASS,COUNTY_A_1,REGIST_CEN,REGISTRATI,countyCode,Shape_Leng,Shape_Area
1,NAIROBI,288.000000000000000,KAMUKUNJI,0.000000000000000,,0.000000000000000,,47.000000000000000,0.164631594840000,0.000977895430000
2,NAIROBI,274.000000000000000,WESTLANDS,0.000000000000000,,0.000000000000000,,47.000000000000000,0.412418271000000,0.005909404220000
3,NAIROBI,275.000000000000000,DAGORETTI NORTH,0.000000000000000,,0.000000000000000,,47.000000000000000,0.232409048780000,0.002384959810000
4,NAIROBI,279.000000000000000,ROYSAMBU,0.000000000000000,,0.000000000000000,,47.000000000000000,0.384356917920000,0.003908350850000
5,NAIROBI,289.000000000000000,STAREHE,0.000000000000000,,0.000000000000000,,47.000000000000000,0.206914625120000,0.001325242500000
6,NAIROBI,277.000000000000000,LANGATA,0.000000000000000,,0.000000000000000,,47.000000000000000,0.855012830950000,0.016950027920000
7,NAIROBI,276.000000000000000,DAGORETTI SOUTH,0.000000000000000,,0.000000000000000,,47.000000000000000,0.275048469490000,0.001987053850000
8,NAIROBI,280.000000000000000,KASARANI,0.000000000000000,,0.000000000000000,,47.000000000000000,0.723687354590000,0.011069471060000
9,NAIROBI,281.000000000000000,RUARAKA,0.000000000000000,,0.000000000000000,,47.000000000000000,0.175182747430000,0.000584655510000
10,NAIROBI,278.000000000000000,KIBRA,0.000000000000000,,0.000000000000000,,47.000000000000000,0.207912767660000,0.001079636490000
11,NAIROBI,290.000000000000000,MATHARE,0.000000000000000,,0.000000000000000,,47.000000000000000,0.110374468010000,0.000235799340000
12,MOMBASA,3.000000000000000,KISAUNI,9.000000000000000,MJAMBERE,0.000000000000000,,1.000000000000000,0.526641257130000,0.008339343220000
13,MOMBASA,6.000000000000000,MVITA,27.000000000000000,TUDOR,0.000000000000000,,1.000000000000000,0.160696023180000,0.001454446350000
14,MOMBASA,2.000000000000000,JOMVU,8.000000000000000,MIKINDANI,0.000000000000000,,1.000000000000000,0.354357831220000,0.003585425020000
15,MOMBASA,4.000000000000000,NYALI,16.000000000000000,FRERE TOWN,0.000000000000000,,1.000000000000000,0.204972408090000,0.002241955530000
16,MOMBASA,5.000000000000000,LIKONI,21.000000000000000,MTONGWE,0.000000000000000,,1.000000000000000,0.417955512340000,0.004846707740000
17,KWALE,10.000000000000000,KINANGO,47.000000000000000,MACKINNON ROAD,0.000000000000000,,2.000000000000000,3.862981612140000,0.393640015370000
18,KWALE,9.000000000000000,MATUGA,0.000000000000000,,0.000000000000000,,2.000000000000000,1.866443136110000,0.097592275570000
19,KWALE,8.000000000000000,LUNGA LUNGA,0.000000000000000,,0.000000000000000,,2.000000000000000,2.492772299750000,0.190163137300000
20,KWALE,7.000000000000000,MSAMBWENI,31.000000000000000,GOMBATO BONGWE,0.000000000000000,,2.000000000000000,1.266090989500000,0.076728235940000
21,KILIFI,13.000000000000000,KALOLENI,63.000000000000000,MARIAKANI,0.000000000000000,,3.000000000000000,1.394617127320000,0.059018841010000
22,KILIFI,15.000000000000000,GANZE,74.000000000000000,SOKOKE,0.000000000000000,,3.000000000000000,2.533144509410000,0.238841744150000
23,KILIFI,11.000000000000000,KILIFI NORTH,55.000000000000000,MATSANGONI,0.000000000000000,,3.000000000000000,2.476472723320000,0.063793620040000
24,KILIFI,12.000000000000000,KILIFI SOUTH,61.000000000000000,CHASIMBA,0.000000000000000,,3.000000000000000,1.024112627140000,0.032506216280000
25,KILIFI,17.000000000000000,MAGARINI,0.000000000000000,,0.000000000000000,,3.000000000000000,3.814976979970000,0.564685203090000
26,KILIFI,14.000000000000000,RABAI,69.000000000000000,KAMBE/RIBE,0.000000000000000,,3.000000000000000,0.678199379640000,0.016319375480000
27,KILIFI,16.000000000000000,MALINDI,0.000000000000000,,0.000000000000000,,3.000000000000000,1.665273917370000,0.049598159270000
28,TANA RIVER,19.000000000000000,GALOLE,0.000000000000000,,0.000000000000000,,4.000000000000000,4.350679768060000,0.787190368460000
29,TANA RIVER,20.000000000000000,BURA,0.000000000000000,,0.000000000000000,,4.000000000000000,4.963618042640000,1.105003532000000
30,TANA RIVER,18.000000000000000,GARSEN,86.000000000000000,KIPINI EAST,0.000000000000000,,4.000000000000000,6.292873416520000,1.292211563980000
31,LAMU,22.000000000000000,LAMU WEST,0.000000000000000,,0.000000000000000,,5.000000000000000,2.830042775570000,0.398842252870000
32,LAMU,21.000000000000000,LAMU EAST,101.000000000000000,FAZA,0.000000000000000,,5.000000000000000,2.516123271530000,0.344943903560000
33,TAITA TAVETA,24.000000000000000,WUNDANYI,0.000000000000000,,0.000000000000000,,6.000000000000000,1.201006584570000,0.069124653880000
34,TAITA TAVETA,26.000000000000000,VOI,127.000000000000000,KALOLENI,0.000000000000000,,6.000000000000000,6.256017351340000,0.769721178320000
35,TAITA TAVETA,25.000000000000000,MWATATE,120.000000000000000,RONG'E,0.000000000000000,,6.000000000000000,3.087993302130000,0.228799559270000
36,TAITA TAVETA,23.000000000000000,TAVETA,0.000000000000000,,0.000000000000000,,6.000000000000000,3.387119371370000,0.325923942030000
37,GARISSA,28.000000000000000,BALAMBALA,136.000000000000000,DANYERE,0.000000000000000,,7.000000000000000,4.184446901210000,0.304825207240000
38,GARISSA,32.000000000000000,IJARA,0.000000000000000,,0.000000000000000,,7.000000000000000,4.948564331220000,0.667997162740000
39,GARISSA,30.000000000000000,DADAAB,0.000000000000000,,0.000000000000000,,7.000000000000000,4.725194884160000,0.609224812800000
